"Tradename";"License #";"UBI";"Street Address";"Suite/Rm";"City";"State";"County";"ZipCode";"PrivDesc";"PrivilegeStatus";"DayPhone"
"HIGH D AWAY                                  ";"420970";"6035535820010001";"PARCEL # 6911700050           ";"                         ";"SEATTLE                 ";"WA";"KING";"98126    ";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"HIGH END MARKET PLACE                        ";"413550";"6033503770010001";"1906 BROADWAY                 ";"                         ";"VANCOUVER               ";"WA";"CLARK";"986630000";"MEDICAL ENDORSEMENT                ";"ACTIVE (ISSUED)";"3606953612"
"HIGH HEAVENS LLC                             ";"421280";"6035472820010001";"4564 WINDEMERE ST             ";"                         ";"LONGVIEW                ";"WA";"COWLITZ";"986325097";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"HIGH ON 99                                   ";"415238";"6033534320010002";"15919 HWY 99                  ";"                         ";"LYNNWOOD                ";"WA";"SNOHOMISH";"980871427";"MEDICAL ENDORSEMENT                ";"ACTIVE (ISSUED)";"4254123705"
"HIGH ON 99 LLC                               ";"415237";"6033534320010003";"24007 56TH AVE W STE A        ";"                         ";"MOUNTLAKE TERRACE       ";"WA";"SNOHOMISH";"980435501";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"HIGH ON 99 LLC                               ";"420334";"6033534320010004";"24007 56TH AVE W STE B        ";"                         ";"MOUNTLAKE TERRACE       ";"WA";"SNOHOMISH";"980435501";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"HIGH QUALITY CONSULTING, LLC                 ";"421315";"6033303280010002";"11457 PACIFIC AVE S STE 8     ";"                         ";"TACOMA                  ";"WA";"PIERCE";"984445541";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"HIGH ROOTS, LLC                              ";"420975";"6035513110010001";"UNKNOWN                       ";"                         ";"SPOKANE                 ";"WA";"";"992030000";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"HIGH SOCIETY                                 ";"413533";"6033531970010001";"735 S. BURLINGTON BLVD        ";"                         ";"BURLINGTON              ";"WA";"SKAGIT";"982332219";"MEDICAL ENDORSEMENT                ";"ACTIVE (ISSUED)";"3606610168"
"HIGH SOCIETY                                 ";"413534";"6033531970010002";"8630 S MARCH POINT RD         ";"                         ";"ANACORTES               ";"WA";"SKAGIT";"982213412";"MEDICAL ENDORSEMENT                ";"ACTIVE (ISSUED)";"3606610168"
"HIGH SOCIETY                                 ";"420612";"6033531970010004";"3533 CHUCKANUT DR             ";"STE B                    ";"BOW                     ";"WA";"SKAGIT";"982328564";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"HIGH SOCIETY                                 ";"421737";"6033531970010005";"1625 CENTER ST STE A          ";"                         ";"TACOMA                  ";"WA";"PIERCE";"984097920";"MEDICAL ENDORSEMENT                ";"ACTIVE (ISSUED)";"3606610168"
"HIGH VIBRATIONS                              ";"422638";"6036004360010001";"39192 SE PARK ST              ";"                         ";"SNOQUALMIE              ";"WA";"KING";"980659181";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"HIGH-5 CANNABIS                              ";"421702";"6034040170010002";"6511 NE 137TH AVE             ";"                         ";"VANCOUVER               ";"WA";"CLARK";"986825948";"MEDICAL ENDORSEMENT                ";"ACTIVE (ISSUED)";"3609475404"
"HIGHER LEAF MARIJUANA BOUTIQUE               ";"414240";"6034142130010001";"12525 WILLOWS RD NE STE 60    ";"                         ";"KIRKLAND                ";"WA";"KING";"980347205";"MEDICAL ENDORSEMENT                ";"CLOSED (PERMANENT)";"          "
"HIGHER LEAF MARIJUANA BOUTIQUE               ";"422218";"6034142130010002";"12525 WILLOWS RD NE STE 10    ";"                         ";"KIRKLAND                ";"WA";"KING";"980348735";"MEDICAL ENDORSEMENT                ";"ACTIVE (ISSUED)";"4258205967"
"HIGHER SOLUTIONS LLC                         ";"420569";"6035511440010001";"3812 E CROWN AVE              ";"                         ";"SPOKANE                 ";"WA";"SPOKANE";"992176681";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"HIGHWAY 7,  LLC                              ";"414887";"6033581540010002";"7046 PACIFIC AVE              ";"                         ";"TACOMA                  ";"WA";"PIERCE";"984087219";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"HIMILIA                                      ";"087025";"6035727130010001";"351 THREE RIVERS DR           ";"                         ";"KELSO                   ";"WA";"COWLITZ";"986263129";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"HIMILIA LLC                                  ";"422845";"6035727130010002";"351 THREE RIVERS DR STE B     ";"                         ";"KELSO                   ";"WA";"COWLITZ";"986263129";"MEDICAL ENDORSEMENT                ";"CLOSED (PERMANENT)";"          "
"HOC MANAGEMENT AND CONSULTING                ";"420617";"6034690650010001";"217 174TH ST S                ";"                         ";"SPANAWAY                ";"WA";"PIERCE";"983878705";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"HOLIDAY LLC                                  ";"421587";"6035689050010001";"4800 BEACH DR SW              ";"                         ";"SEATTLE                 ";"WA";"KING";"981164343";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"HOMEGROWN NORTHWEST                          ";"421350";"6035602530010001";"2724 3RD AVE S                ";"                         ";"SEATTLE                 ";"WA";"KING";"981341909";"MEDICAL ENDORSEMENT                ";"PENDING (ISSUED)";"2534595741"
"HOMEGROWN NW                                 ";"420726";"6035517770010001";"733 LAKEWOOD RD               ";"                         ";"ARLINGTON               ";"WA";"SNOHOMISH";"982235479";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"HOPE ALTERNATIVE MEDICINE                    ";"420296";"6033132530010002";"2600 NW RANDALL WAY STE 103   ";"                         ";"SILVERDALE              ";"WA";"KITSAP";"983839427";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"HOT SPOT FOR POT                             ";"421213";"6035577840010001";"3105 ALDERWOOD MALL BLVD STE B";"                         ";"LYNNWOOD                ";"WA";"SNOHOMISH";"980364703";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"HOUSE OF BUDDHA                              ";"421739";"6034520850010001";"510 1/2 112TH ST S            ";"                         ";"TACOMA                  ";"WA";"PIERCE";"984445720";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"HUMPTULIPS GROCERY STORE                     ";"359675";"6025023640010001";"1935 KIRKPATRICK RD           ";"                         ";"HUMPTULIPS              ";"WA";"GRAYS HARBOR";"985520000";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"HUSEELL                                      ";"420992";"6034312480010002";"11418 SE 231ST PL             ";"                         ";"KENT                    ";"WA";"KING";"980313425";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"HWY 420                                      ";"413427";"6027629820010002";"11493 CLEAR CREEK RD          ";"                         ";"SILVERDALE              ";"WA";"KITSAP";"983839657";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"HWY 420                                      ";"413843";"6034060990010001";"1110 CHARLESTON BEACH RD W    ";"                         ";"BREMERTON               ";"WA";"KITSAP";"983124504";"MEDICAL ENDORSEMENT                ";"PENDING (ISSUED)";"3609323182"
"HYBRID 360 FARMS WA                          ";"421571";"6035511390010001";"6311 RICH RD SE               ";"                         ";"OLYMPIA                 ";"WA";"THURSTON";"985015317";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"HYDROCHRONIX LLC                             ";"422614";"6035998510010001";"704 W COLUMBIA DR STE B       ";"                         ";"KENNEWICK               ";"WA";"BENTON";"993363545";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"HYPEHERBALLY                                 ";"414051";"6033066060010003";"1120 112TH ST SW              ";"                         ";"EVERETT                 ";"WA";"SNOHOMISH";"982044863";"MEDICAL ENDORSEMENT                ";"ACTIVE (ISSUED)";"4255829385"
"HYPEHERBALLY                                 ";"422232";"6033066060010004";"1120 112TH ST SW UNIT B       ";"                         ";"EVERETT                 ";"WA";"SNOHOMISH";"982044863";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"I-502 INVESTMENTS LLC                        ";"413390";"6034112390010003";"2000 124TH AVE NE STE B106    ";"                         ";"BELLEVUE                ";"WA";"KING";"980052117";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"ICU POWER, LLC                               ";"422766";"6035651650010003";"17611 W LANCE HILL RD         ";"                         ";"CHENEY                  ";"WA";"SPOKANE";"99004    ";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"IHPP CORPORATION                             ";"414475";"6035653130010002";"8734 120TH AVE NE             ";"                         ";"KIRKLAND                ";"WA";"KING";"980335861";"MEDICAL ENDORSEMENT                ";"ACTIVE (ISSUED)";"4253188898"
"INDIVIDUAL FREEDOMS CORPORATION              ";"420804";"6029555970010005";"3130 N DIVISION ST            ";"                         ";"SPOKANE                 ";"WA";"SPOKANE";"992071943";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"INDIVIDUAL FREEDOMS CORPORATION              ";"422603";"6029555970010007";"21655 RENTON MAPLE VALLEY RD  ";"SE                       ";"MAPLE VALLEY            ";"WA";"KING";"980388009";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"INLAND NW LEAF, LLC                          ";"421612";"6034472620010001";"25105 E. TRENT AVE  STE C     ";"                         ";"NEWMAN LAKE             ";"WA";"SPOKANE";"99025    ";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"INVICTUS ASSETS LLC                          ";"351821";"6033581640010002";"430 SUNSET BLVD N             ";"                         ";"RENTON                  ";"WA";"KING";"980575512";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"INVICTUS ASSETS LLC                          ";"420335";"6033581640010003";"3232 1ST AVE S                ";"STE  E                   ";"SEATTLE                 ";"WA";"KING";"981341818";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"ISAACCOOPERRETAIL                            ";"421114";"6035523050010002";"2840 MIKAYLA LN               ";"                         ";"WENATCHEE               ";"WA";"CHELAN";"988025873";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"ISLAND HERB                                  ";"413727";"6033504390010001";"5565 VANBARR PLACE UNIT F     ";"                         ";"FREELAND                ";"WA";"ISLAND";"982490000";"MEDICAL ENDORSEMENT                ";"ACTIVE (ISSUED)";"3603312898"
"ISSAQUAH CANNABIS COMPANY                    ";"414867";"6033564790010001";"230 NE JUNIPER ST             ";"                         ";"ISSAQUAH                ";"WA";"KING";"980270000";"MEDICAL ENDORSEMENT                ";"PENDING (ISSUED)";"2069492124"
"IT IS LIT 2 LLC                              ";"422055";"6035808890010002";"21911 64TH AVE W. SUITE C     ";"                         ";"MOUNTLAKE TERRACE       ";"WA";"SNOHOMISH";"980432230";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"IT IS LIT LLC                                ";"423203";"6035809000010002";"1611 S SMITTYS BLVD  STE B    ";"STE B                    ";"RITZVILLE               ";"WA";"ADAMS";"991692264";"MEDICAL ENDORSEMENT                ";"ACTIVE (ISSUED)";"2065270435"
"IT'S FOUR TWENTY SOMEWHERE LLC               ";"420476";"6035479580010001";"412 REGAL RD                  ";"                         ";"ELK                     ";"WA";"SPOKANE";"990099760";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"J & K CANNABIS                               ";"355804";"6030890680010002";"12825 PACIFIC HWY SW          ";"                         ";"LAKEWOOD                ";"WA";"PIERCE";"984991030";"MEDICAL ENDORSEMENT                ";"ACTIVE (ISSUED)";"2534684440"
"J & K CANNABIS                               ";"355804";"6030890680010005";"8211 MUKILTEO SPEEDWAY        ";"                         ";"MUKILTEO                ";"WA";"SNOHOMISH";"982752920";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"JADE DRAGON POT SHOP                         ";"422095";"6035827120010001";"201 W WALNUT ST               ";"                         ";"YAKIMA                  ";"WA";"YAKIMA";"989023472";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"JANDK                                        ";"420737";"6030890680010003";"12825 PACIFIC HWY SW STE A    ";"                         ";"LAKEWOOD                ";"WA";"PIERCE";"984991030";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"JANDK GREEN GOODS                            ";"420730";"6030890680010004";"12837 PACIFIC HWY SW          ";"STE B                    ";"LAKEWOOD                ";"WA";"PIERCE";"984991030";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"JASON J O BERGE                              ";"422979";"6024490320010005";"13985 INTERURBAN AVE S        ";"                         ";"TUKWILA                 ";"WA";"KING";"981685707";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"JB WEED                                      ";"420728";"6018946740010002";"890 WEAVER LN                 ";"                         ";"OTHELLO                 ";"WA";"ADAMS";"993449635";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"JD'S COLLECTIVE GARDEN                       ";"420470";"6033028900010001";"39817B N NEWPORT HWY          ";"                         ";"ELK                     ";"WA";"SPOKANE";"990099799";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"JD'S PROCUREMENT                             ";"422725";"6036027560010001";"1350 ATLANTIC AVE             ";"                         ";"WOODLAND                ";"WA";"COWLITZ";"986748457";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"JDLM MANAGEMENT                              ";"421108";"6032894170010002";"3908 6TH AVE  STE C           ";"                         ";"TACOMA                  ";"WA";"PIERCE";"984064900";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"JDT VENTURES                                 ";"414886";"6033581440010002";"6307 N 1ST CIR                ";"                         ";"RIDGEFIELD              ";"WA";"CLARK";"986423354";"MEDICAL ENDORSEMENT                ";"ACTIVE (ISSUED)";"3608922878"
"JET CITY                                     ";"420910";"6035513980010001";"1629 SUMMIT AVE APT 202       ";"                         ";"SEATTLE                 ";"WA";"KING";"981222340";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"JGJ VENTURE LLC                              ";"421645";"6035699620010002";"8529 52ND ST SE STE D         ";"                         ";"SNOHOMISH               ";"WA";"SNOHOMISH";"982909282";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"JGJ VENTURE LLC                              ";"421646";"6035699620010003";"8529 52ND ST SE STE B-2       ";"                         ";"SNOHOMISH               ";"WA";"SNOHOMISH";"982909282";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"JK GROUP                                     ";"415486";"6035989000010001";"15937 REDMOND WAY             ";"                         ";"REDMOND                 ";"WA";"KING";"980523836";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"JOHN MEHOVES                                 ";"420542";"6035470700010002";"34011 STATE ROUTE 507 S       ";"                         ";"ROY                     ";"WA";"PIERCE";"985809427";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"JONATHAN SNEIDER                             ";"421586";"6035689030010001";"17410 WOODINVILLE-REDMOND RD  ";"                         ";"WOODINVILLE             ";"WA";"KING";"98072    ";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"JRS OPERATIONS LLC                           ";"412930";"6035505990010001";"2119 LINCOLN ST               ";"                         ";"BELLINGHAM              ";"WA";"WHATCOM";"982254147";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"JUST HEMP                                    ";"414728";"6033583980010001";"10843 1ST AVE S STE B         ";"                         ";"SEATTLE                 ";"WA";"KING";"981680000";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"KALEAFA                                      ";"417643";"6033220580010002";"33858 SR 20 STE 102           ";"                         ";"OAK HARBOR              ";"WA";"ISLAND";"982772664";"MEDICAL ENDORSEMENT                ";"ACTIVE (ISSUED)";"3606822420"
"KALEAFA                                      ";"422270";"6033220580010004";"3204 ST JOHNS BLVD            ";"                         ";"VANCOUVER               ";"WA";"CLARK";"986613725";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"KALI CREATIONS                               ";"420597";"6033848200010001";"1313 GOETHALS DR              ";"                         ";"RICHLAND                ";"WA";"BENTON";"993543203";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"KALYKE LLC                                   ";"423258";"6035727180010001";"3411 N CAPITOL AVE STE B      ";"                         ";"PASCO                   ";"WA";"FRANKLIN";"993019556";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"KARMA CANNABIS, LLC                          ";"421168";"6035537530010001";"131 RIVER RD   STE A          ";"                         ";"SEQUIM                  ";"WA";"CLALLAM";"983829804";"MEDICAL ENDORSEMENT                ";"ACTIVE (ISSUED)";"3604606641"
"KASHYYYK                                     ";"420614";"6033559280010002";"246 W MANSON HWY # 6          ";"                         ";"CHELAN                  ";"WA";"CHELAN";"988169583";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"KATHY HARTWELL                               ";"420378";"6029664000010001";"865 RETSIL RD E               ";"                         ";"PORT ORCHARD            ";"WA";"KITSAP";"983665046";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"KEN L MICHELSON                              ";"351847";"6033606370010002";"12837 PACIFIC HWY SW          ";"                         ";"LAKEWOOD                ";"WA";"PIERCE";"984991030";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"KEVIN L JACOBS                               ";"365422";"6023276270010005";"11420 E SPRAGUE AVE STE A     ";"                         ";"SPOKANE VALLEY          ";"WA";"SPOKANE";"992065224";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"KGB COLLECTIVE                               ";"422953";"6031590710010005";"3715 IRONGATE RD              ";"                         ";"BELLINGHAM              ";"WA";"WHATCOM";"982268055";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"KIKU                                         ";"420789";"6033591320010003";"4601 PACIFIC HWY S            ";"STE C                    ";"TACOMA                  ";"WA";"PIERCE";"98408    ";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"KIND ACCESS                                  ";"422762";"6035365420010002";"1107 W UNIVERSITY WAY         ";"                         ";"ELLENSBURG              ";"WA";"KITTITAS";"989262328";"MEDICAL ENDORSEMENT                ";"CLOSED (PERMANENT)";"          "
"KIND BUDS                                    ";"421267";"6035588120010001";"11811 MUKILTEO SPEEDWAY #2    ";"                         ";"MUKILTEO                ";"WA";"SNOHOMISH";"982755442";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"KIND GREEN BOTANICALS COLLECTIVE             ";"420694";"6031590710010002";"1311 11TH ST                  ";"                         ";"BELLINGHAM              ";"WA";"WHATCOM";"982257016";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"KIND SUPPLY, LLC                             ";"420786";"6032944760010001";"953 E 3RD AVE                 ";"STE B                    ";"SPOKANE                 ";"WA";"SPOKANE";"992022215";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"KING & KUSH, LLC                             ";"421201";"6035516390010001";"3801 S PUGET SOUND AVE STE B  ";"                         ";"TACOMA                  ";"WA";"PIERCE";"984094612";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"KING CRONIC                                  ";"422012";"6035765800010001";"20639 OLD HIGHWAY 99 SW UNIT B";"UNIT B                   ";"CENTRALIA               ";"WA";"THURSTON";"985318613";"MEDICAL ENDORSEMENT                ";"ACTIVE (ISSUED)";"3608587142"
"KING CRONIC 2                                ";"422459";"6035765800010003";"1316 MT. ST. HELENS WAY UNIT A";"                         ";"CASTLE ROCK             ";"WA";"COWLITZ";"986119281";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"KING CRONIC 3                                ";"407680";"6035765800010004";"851 CALIFORNIA WAY            ";"UNIT A                   ";"LONGVIEW                ";"WA";"COWLITZ";"986321665";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"KING CROSS RETAILER                          ";"413305";"6027207730010007";"3123 EASTLAKE AVE E           ";"                         ";"SEATTLE                 ";"WA";"KING";"981023801";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"KING'S LANDING                               ";"414689";"6033601270010001";"4002 PACIFIC AVE STE A        ";"                         ";"TACOMA                  ";"WA";"PIERCE";"984187830";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"KINGS LANDING                                ";"420924";"6033601940010002";"4006 PACIFIC AVE STE B        ";"                         ";"TACOMA                  ";"WA";"PIERCE";"984187830";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"KITSAP CANNABIS                              ";"422468";"6035945810010001";"1739 VILLAGE LN SE            ";"                         ";"PORT ORCHARD            ";"WA";"KITSAP";"983662643";"MEDICAL ENDORSEMENT                ";"PENDING (ISSUED)";"3608658092"
"KITTITAS CANNABIS                            ";"422779";"6036021290010002";"700 S MAIN ST  STE C          ";"                         ";"KITTITAS                ";"WA";"KITTITAS";"989263641";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"KLOUD 99                                     ";"422666";"6036012300010001";"14626 HIGHWAY 99 STE 103-B    ";"                         ";"LYNNWOOD                ";"WA";"SNOHOMISH";"980875556";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"KP HEALING CENTER                            ";"421171";"6035570210010001";"9507B STATE ROUTE 302 NW      ";"                         ";"GIG HARBOR              ";"WA";"PIERCE";"983297102";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"KRONIC CONNECTION                            ";"350987";"6033657160010002";"7052 PACIFIC AVE              ";"                         ";"TACOMA                  ";"WA";"PIERCE";"984087219";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"KUSH                                         ";"420336";"6024490320010004";"11834 NE 90TH ST              ";"                         ";"KIRKLAND                ";"WA";"KING";"980335814";"MEDICAL ENDORSEMENT                ";"ACTIVE (ISSUED)";"4252693242"
"KUSH                                         ";"422980";"6024490320010006";"26207 MAPLE VALLEY-BLK DIAM RD";"STE H                    ";"MAPLE VALLEY            ";"WA";"KING";"98038    ";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"KUSH BUNNYS                                  ";"420868";"6035535840010001";"1814 S 17TH ST                ";"                         ";"UNION GAP               ";"WA";"YAKIMA";"989033937";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"KUSH MOUNTAIN                                ";"420422";"6034801730010002";"2816 HEWITT AVE               ";"                         ";"EVERETT                 ";"WA";"SNOHOMISH";"982013820";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"KUSHKLUB LLC                                 ";"420557";"6035506570010001";"160 SW NORMANDY RD APT 302    ";"                         ";"NORMANDY PARK           ";"WA";"KING";"981663996";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"KUSHMART                                     ";"414520";"6033472500010002";"6309 EVERGREEN WAY STE C      ";"                         ";"EVERETT                 ";"WA";"SNOHOMISH";"982034559";"MEDICAL ENDORSEMENT                ";"PENDING (ISSUED)";"2067691282"
"KUSHMART                                     ";"420624";"6035514460010001";"521 STADIUM PL S # 2005       ";"                         ";"SEATTLE                 ";"WA";"KING";"981047800";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"KUSHMART                                     ";"420625";"6035514460010002";"521 STADIUM PL S # 2005 STE #B";"                         ";"SEATTLE                 ";"WA";"KING";"981047800";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"KUSHMART                                     ";"420626";"6035514460010003";"521 STADIUM PL S # 2005 STE #C";"                         ";"SEATTLE                 ";"WA";"KING";"981047800";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"KUSHMART                                     ";"421518";"6035669440010001";"10936 PAINE FIELD WAY         ";"                         ";"EVERETT                 ";"WA";"SNOHOMISH";"982048710";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"KUSHMART                                     ";"421579";"6035669440010002";"10936 PAINE FIELD WAY STE B   ";"                         ";"EVERETT                 ";"WA";"SNOHOMISH";"982048710";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"KUSHSIDE                                     ";"416102";"6035539770010001";"13220 HWY 99 S                ";"                         ";"EVERETT                 ";"WA";"SNOHOMISH";"982045424";"MEDICAL ENDORSEMENT                ";"ACTIVE (ISSUED)";"2069724990"
"L & M DIST. LLC                              ";"420885";"6032207310010003";"6204 112TH ST E               ";"                         ";"PUYALLUP                ";"WA";"PIERCE";"983734317";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"L & M DIST.,LLC                              ";"420695";"6032207310010002";"3833 PACIFIC AVE              ";"                         ";"TACOMA                  ";"WA";"PIERCE";"984187897";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"L & M MANAGEMENT LLC                         ";"421375";"6034157540010004";"6611 KITSAP WAY               ";"                         ";"BREMERTON               ";"WA";"KITSAP";"983121741";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"L & M MANAGEMENT LLC                         ";"421565";"6034157540010005";"21 SHINE RD                   ";"                         ";"PORT LUDLOW             ";"WA";"JEFFERSON";"983659509";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"L'AMOUR MARI                                 ";"420366";"6035497390010001";"12678 SE 38TH ST # D          ";"                         ";"BELLEVUE                ";"WA";"KING";"980061204";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"LA BELLE FLEUR                               ";"421886";"6035781490010001";"101 N 85TH ST STE 202         ";"                         ";"SEATTLE                 ";"WA";"KING";"981033657";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"LACAMAS FLOWERS & EVENTS LLC                 ";"420503";"6030893040010003";"470 N Y ST STE B              ";"                         ";"WASHOUGAL               ";"WA";"CLARK";"986718532";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"LACAMAS FLOWERS & EVENTS LLC                 ";"420606";"6030893040010004";"470 N Y ST STE W              ";"                         ";"WASHOUGAL               ";"WA";"CLARK";"986718532";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"LADY BUDS                                    ";"421179";"6035580150010001";"UNKNOWN                       ";"                         ";"CASHMERE                ";"WA";"";"000000000";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"LARKSPUR RECREATIONAL                        ";"420758";"6035054890010001";"2141 WASHINGTON ST STE 205    ";"                         ";"FERNDALE                ";"WA";"WHATCOM";"982489183";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
"LAST MINUTE GREEN, LLC                       ";"422792";"6036026430010001";"26207 MAPLE VALLEY BLACK DIAMO";"STE D                    ";"MAPLE VALLEY            ";"WA";"KING";"98272    ";"MEDICAL ENDORSEMENT                ";"PENDING (NOT ISSUED)";"          "
